ID,INCIDENT,DATE,TIME,ADDRESS,ZIP,BATTALION/SHIFT,MAPSCO,COUNCIL_DISTRICT,CENSUS_TRACT,STRUCTURE_TYPE,NO_OF_STORIES,CONSTRUCTION,CAUSE,TOTAL_VALUE,STRUCTURE_LOSS,CONTENTS_LOSS,TOTAL_SAVED,SPRINKER_SYS,ALARM_SYS
17961,2019260671,10/29/2019,08:21 PM,1325 S MARSALIS AVE,75216,6/A,55J,4,5400,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,166370,-5000,0,161370,,
17962,2019260870,10/30/2019,03:42 AM,10728 LATHROP DR,75229,7/A,23H,13,9702,DWELLING,1,WOOD,STORM,535470,-10000,0,525470,,
17963,2019261074,10/30/2019,10:47 AM,6205 S R L THORNTON SERV,75241,5/B,64R,3,11200,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,306000,-5000,-15000,286000,,
17964,2019261321,10/30/2019,05:32 PM,12044 WILLOWDELL DR,75243,2/B,16X,10,7804,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,126710,-8000,-4000,114710,,
17965,2019261090,10/30/2019,11:03 AM,2212 LAPSLEY ST,75212,9/B,42U,6,10602,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,84000,-45000,-10000,29000,,
17966,2019262274,10/31/2019,09:25 PM,4007 ARANSAS ST,75212,9/C,43F,6,10500,DWELLING,1,WOOD,UNDETERMINED,36880,-2000,0,34880,,
17967,2019261855,10/31/2019,11:49 AM,3540 WILHURT AVE,75216,5/C,56T,4,8701,APARTMENTS,2,WOOD,EQUIPMENT UNATTENDED,2625000,-30000,0,2595000,,
17968,2019261830,10/31/2019,11:07 AM,4243 OSBORN RD,75227,8/C,48K,7,12207,APARTMENTS,2,BRICK,UNSPECIFIED SHORT CIRCUIT ARC,249200,-1000,-200,248000,,
17969,2019261715,10/31/2019,08:13 AM,5715 S R L THORNTON FRWY,75232,5/C,64R,4,11002,MOTEL,1,WOOD,ELECTRICAL FAILURE MALFUNCTION OTHER,824800,-5000,-2000,817800,,
17263,2019262418,11/01/2019,01:53 AM,3550 ST FRANCIS AVE,75228,8/C,48F,7,12211,APARTMENTS,2,WOOD,EQUIPMENT UNATTENDED,4695000,-5000,-1000,4689000,,
17249,2019262478,11/01/2019,04:25 AM,835 N ZANG BLVD,75208,6/C,54D,1,4201,APARTMENTS,2,BRICK,UNSPECIFIED SHORT CIRCUIT ARC,2630890,-80000,0,2550890,N/A,YES
17250,2019262653,11/01/2019,10:38 AM,620 YORKTOWN ST,75208,1/A,44U,6,4300,COMMERCIAL,1,,FAILURE TO CLEAN,2168550,-10000,-10000,2148550,YES,YES
17251,2019263092,11/01/2019,06:57 PM,3509 RUTZ ST,75212,1/A,44J,6,10101,DWELLING,1,WOOD,FAILURE TO CLEAN,84100,0,-100,84000,N/A,NO
17252,2019263663,11/02/2019,01:18 PM,3303 SOUTHERN OAKS BLVD,75216,5/B,56S,4,8604,APARTMENTS,2,WOOD,INCENDIARY,8900000,-300,-800,8898900,YES,YES
17253,2019263773,11/02/2019,04:05 PM,3518 PUEBLO ST,75212,9/B,43K,6,10500,DWELLING,1,WOOD,INCENDIARY,78410,0,0,78410,N/A,UNK
17254,2019164029,11/02/2019,08:48 PM,1625 REGAL ROW,75247,7/B,33K,2,10000,MOTEL,2,WOOD,UNDETERMINED,4832320,-1000,-100,4831220,NO,YES
17255,2019264119,11/02/2019,11:24 PM,3202 SYLVAN AVE,75212,1/B,44P,6,10102,WAREHOUSE,1,,UNDETERMINED,99790,-1000,0,98790,NO,NO
17256,2019263686,11/02/2019,01:58 PM,4721 GASTON AVE,75246,5/B,46A,2,1504,DWELLING,2,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,25,0,-25,0,N/A,YES
17257,2019263697,11/02/2019,02:09 PM,1106 HENDRICKS AVE,75216,6/B,55F,4,4900,DWELLING,2,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,77450,-30000,-15000,32450,NO,NO
17258,2019264223,11/03/2019,01:00 AM,12219 CREEKSPAN DR,75243,4/B,17Z,10,19019,DWELLING,2,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,376490,-9000,0,367490,NO,UNK
17259,2019264182,11/03/2019,12:46 AM,624 S EDGEFIELD AVE,75208,6/B,54F,1,5100,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,135420,-20000,-8000,107420,NO,NO
17260,2019264591,11/03/2019,01:31 PM,10726 ALLWOOD LN,75229,7/C,22G,6,9701,TRASH,,,INCENDIARY,0,0,0,0,NO,NO
17261,2019264161,11/03/2019,12:11 AM,9033 E R L THORNTON SER WB,75228,8/B,48F,7,12207,MOTEL,2,WOOD,INCENDIARY,1961230,-4000,-1000,1956230,NO,YES
17262,2019264977,11/04/2019,12:13 AM,1350 STRICKLAND AVE,75216,6/C,55K,4,4900,DWELLING,1,WOOD,INCENDIARY,48460,-1000,-50,47410,NO,YES
17264,2019265499,11/04/2019,03:27 PM,6721 TIMOTHY DR,75227,8/A,48S,5,8400,VEHICLE,2001,BMW 325XI,UNDETERMINED,78500,-40000,-5500,33000,NO,NO
17265,2019265416,11/04/2019,01:41 PM,9403 TIMBERBLUFF RD,75249,6/A,71B-F,3,16510,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,126990,-126990,0,0,NO,YES
17266,,11/04/2019,01:41 AM,9405 TIMBERBLUFF RD,75249,6/A-E,71B-F-E,,,DWELLING,1,WOOD,EXPOSURE (ACCIDENTAL),123550,-2000,0,121550,NO,UNK
17475,2019301157,11/04/2019,08:46 AM,2800 MODESTO,75223,8/A,48X,5,9101,VEHICLE,2002,DODGE RAM,UNDETERMINED,3500,-3500,0,0,N/A,UNK
17267,2019266417,11/05/2019,04:53 PM,3642 WALNUT HILL LN,75229,5/C,23R,6,9802,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,44900,-500,0,44400,NO,UNK
17268,2019265446,11/05/2019,02:13 PM,2018 MCMILLAN AVE,75206,3/A,36S,2,1002,DWELLING,2,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,390000,-2000,-300,387700,N/A,NO
17309,2019267502,11/06/2019,11:23 PM,7500 SCYENE RD,75227,8/C,48X,5,9101,VEHICLE,,CHEVY AVALANCHE,INCENDIARY,8000,-8000,0,0,,
17476,2019267528,11/07/2019,12:17 AM,227 GLENVIEW ST,75223,8/A,58V,5,11701,VEHICLE,2002,CHEV SUBURBAN,INCENDIARY,4700,-4700,0,0,N/A,UNK
17269,2019268007,11/07/2019,02:58 PM,4525 COLE AVE,75205,3/A,35U,14,702,APARTMENTS,5,BRICK,CUTTING WELDING TOO CLOSE TO COMBUSTIBLES,4000000,0,0,4000000,YES,YES
17270,2019267838,11/07/2019,11:10 AM,1628 S FITZHUGH AVE,75223,3/A,46M,7,2500,APARTMENTS,2,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,105000,-500,-100,104400,NO,YES
17271,2019267764,11/07/2019,09:14 AM,3827 LEMMON AVE,75219,3/A,35X,14,605,FENCE,,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,10000,-1000,0,9000,NO,NO
17272,2019267844,11/07/2019,11:21 AM,2270 HOLLYBUSH DR,75228,8/A,37Z,9,12209,APARTMENTS,2,WOOD,INCENDIARY,52500,-5000,-2000,45500,NO,YES
17273,2019268212,11/07/2019,08:04 PM,2311 SHELBURNE CT,75227,8/A,59C,7,17605,DWELLING,1,WOOD,INCENDIARY,128000,-10000,-1000,117000,NO,YES
17274,2019369044,11/08/2019,07:28 PM,3603 N WESTMORELAND RD,75212,9/B,43K,6,10500,VEHICLE,2001,FREIGHTLINER,UNDETERMINED,5000,-5000,0,0,N/A,
17275,2019268987,11/08/2019,06:37 PM,13740 MONTFORT DR,75240,2/B,15J,11,13615,APARTMENTS,2,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,2000000,-30000,0,1970000,NO,YES
17276,2019269169,11/08/2019,10:19 PM,14830 KLEBERG RD,75253,8/B,69A-V,8,17001,TRAILER,,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,2500,-2000,-500,0,N/A,NO
