Lat,Lng,Dist to 1st Station (mi),Dist to 2nd Station (mi)
33.01025022935274,-96.4816110177394,2.21,2.76
33.01025022935274,-96.80296436301326,1.23,1.41
33.01025022935274,-96.82081732663958,,
33.01025022935274,-96.83867029026592,,
33.01025022935274,-96.85652325389223,,
32.996708393759384,-96.4816110177394,,
32.996708393759384,-96.7672584357606,,
32.996708393759384,-96.78511139938692,,
32.996708393759384,-96.80296436301326,1.09,1.44
32.996708393759384,-96.82081732663958,,
32.996708393759384,-96.83867029026592,,
32.996708393759384,-96.85652325389223,1.28,1.42
32.983166558166026,-96.4816110177394,,
32.983166558166026,-96.49946398136574,2.56,2.66
32.983166558166026,-96.78511139938692,0.97,1.2
32.983166558166026,-96.80296436301326,0.51,1.46
32.983166558166026,-96.82081732663958,1.1,1.22
32.96962472257267,-96.4816110177394,,
32.96962472257267,-96.49946398136574,2.63,3.05
32.96962472257267,-96.78511139938692,1.17,1.39
32.96962472257267,-96.80296436301326,0.43,1.29
32.96962472257267,-96.82081732663958,0.61,0.62
32.95608288697931,-96.49946398136574,2.34,2.35
32.95608288697931,-96.78511139938692,,
32.95608288697931,-96.80296436301326,1.14,1.28
32.95608288697931,-96.82081732663958,0.28,0.87
32.94254105138595,-96.49946398136574,1.88,2.4
32.94254105138595,-96.51731694499206,0.96,2.96
32.94254105138595,-96.78511139938692,,
32.94254105138595,-96.80296436301326,1.3,1.49
32.94254105138595,-96.82081732663958,1.21,1.51
32.94254105138595,-96.98149399927652,0.82,1.53
32.928999215792594,-96.4816110177394,1.37,1.37
32.928999215792594,-96.49946398136574,1.81,2.34
32.928999215792594,-96.71369954488164,,
32.928999215792594,-96.74940547213428,,
32.928999215792594,-96.7672584357606,,
32.928999215792594,-96.78511139938692,1.35,1.44
32.928999215792594,-96.80296436301326,,
32.928999215792594,-96.82081732663958,0.71,1.41
32.928999215792594,-96.98149399927652,0.22,0.66
32.91545738019924,-96.4816110177394,1.48,1.49
32.91545738019924,-96.49946398136574,1.61,2.18
32.91545738019924,-96.71369954488164,0.21,0.77
32.91545738019924,-96.73155250850796,0.84,1.51
32.91545738019924,-96.74940547213428,1.12,1.38
32.91545738019924,-96.7672584357606,,
32.91545738019924,-96.78511139938692,,
32.91545738019924,-96.80296436301326,,
32.91545738019924,-96.82081732663958,0.71,1.33
32.91545738019924,-96.83867029026592,0.82,0.89
32.91545738019924,-96.85652325389223,1.0,1.4
