Lat,Lng,"TOTAL LOSS","PERCENTAGE LOSS",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"ACS Economics/Number of households/Total/Value","ACS Economics/Number of households/Total/Margin of error","ACS Economics/Median household income/Total/Value","ACS Economics/Median household income/Total/Margin of error","ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/Less than $10,000/Margin of error","ACS Economics/Household income/Less than $10,000/Percentage","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$10,000 to $14,999/Margin of error","ACS Economics/Household income/$10,000 to $14,999/Percentage","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$15,000 to $19,999/Margin of error","ACS Economics/Household income/$15,000 to $19,999/Percentage","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$20,000 to $24,999/Margin of error","ACS Economics/Household income/$20,000 to $24,999/Percentage","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$25,000 to $29,999/Margin of error","ACS Economics/Household income/$25,000 to $29,999/Percentage","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$30,000 to $34,999/Margin of error","ACS Economics/Household income/$30,000 to $34,999/Percentage","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$35,000 to $39,999/Margin of error","ACS Economics/Household income/$35,000 to $39,999/Percentage","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$40,000 to $44,999/Margin of error","ACS Economics/Household income/$40,000 to $44,999/Percentage","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$45,000 to $49,999/Margin of error","ACS Economics/Household income/$45,000 to $49,999/Percentage","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$50,000 to $59,999/Margin of error","ACS Economics/Household income/$50,000 to $59,999/Percentage","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$60,000 to $74,999/Margin of error","ACS Economics/Household income/$60,000 to $74,999/Percentage","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$75,000 to $99,999/Margin of error","ACS Economics/Household income/$75,000 to $99,999/Percentage","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$100,000 to $124,999/Margin of error","ACS Economics/Household income/$100,000 to $124,999/Percentage","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$125,000 to $149,999/Margin of error","ACS Economics/Household income/$125,000 to $149,999/Percentage","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$150,000 to $199,999/Margin of error","ACS Economics/Household income/$150,000 to $199,999/Percentage","ACS Economics/Household income/$200,000 or more/Value","ACS Economics/Household income/$200,000 or more/Margin of error","ACS Economics/Household income/$200,000 or more/Percentage","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
32.7321074,-96.8147826,5000,3.01,32.732076,-96.81482,1,rooftop,1325,"S Marsalis Ave",,,Dallas,TX,"Dallas County",75216,US,Dallas,711,146,35462,10414,90,82,0.127,64,69,0.09,87,99,0.122,44,57,0.062,8,14,0.011,54,59,0.076,78,63,0.11,0,14,0,12,20,0.017,33,32,0.046,23,29,0.032,146,96,0.205,24,30,0.034,7,12,0.01,0,14,0,41,34,0.058,2021,48,48113,Dallas,4819000,005400,2017,2,481130054002017,48113005400,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.8942481,-96.8571082,10000,1.87,32.894224,-96.857101,1,rooftop,10728,"Lathrop Dr",,,Dallas,TX,"Dallas County",75229,US,Dallas,846,103,109293,13359,22,22,0.026,8,13,0.009,11,19,0.013,14,16,0.017,55,54,0.065,14,17,0.017,7,11,0.008,17,20,0.02,7,11,0.008,22,22,0.026,35,27,0.041,113,65,0.134,151,64,0.178,65,40,0.077,97,56,0.115,208,71,0.246,2021,48,48113,Dallas,4819000,009702,2004,2,481130097022004,48113009702,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.6945433,-96.8240204,20000,6.54,32.694372,-96.824152,1,rooftop,4155,"S R L Thornton Fwy",,,Dallas,TX,"Dallas County",75224,US,Dallas,1153,153,35651,4575,160,76,0.139,64,61,0.056,98,55,0.085,24,26,0.021,113,80,0.098,99,61,0.086,90,64,0.078,94,73,0.082,119,76,0.103,56,44,0.049,53,49,0.046,147,76,0.127,25,29,0.022,0,14,0,11,16,0.01,0,14,0,2021,48,48113,Dallas,4819000,006002,2003,2,481130060022003,48113006002,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.9135841,-96.7644347,12000,9.47,32.913567,-96.76437,1,rooftop,12044,"Willowdell Dr",,,Dallas,TX,"Dallas County",75243,US,Dallas,430,148,49531,24423,49,37,0.114,0,14,0,0,14,0,19,31,0.044,0,14,0,0,14,0,96,97,0.223,0,14,0,54,67,0.126,48,52,0.112,14,23,0.033,0,14,0,58,92,0.135,52,67,0.121,0,14,0,40,48,0.093,2021,48,48113,Dallas,4819000,007829,2005,2,481130078292005,48113007829,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7699863,-96.908816,55000,65.48,32.769974,-96.90869,1,rooftop,2212,"Lapsley St",,,Dallas,TX,"Dallas County",75212,US,Dallas,474,73,50694,7433,17,17,0.036,53,44,0.112,30,30,0.063,14,16,0.03,38,38,0.08,28,22,0.059,0,14,0,28,26,0.059,19,19,0.04,108,56,0.228,40,35,0.084,56,42,0.118,17,27,0.036,8,12,0.017,8,12,0.017,10,17,0.021,2021,48,48113,Dallas,4819000,010602,2024,2,481130106022024,48113010602,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7902897,-96.8752481,2000,5.42,32.790312,-96.875302,1,rooftop,4007,"Aransas St",,,Dallas,TX,"Dallas County",75212,US,Dallas,421,82,38958,20736,62,42,0.147,0,14,0,70,47,0.166,38,40,0.09,30,34,0.071,0,14,0,18,16,0.043,41,38,0.097,25,27,0.059,27,26,0.064,17,15,0.04,61,46,0.145,17,20,0.04,8,12,0.019,7,10,0.017,0,14,0,2021,48,48113,Dallas,4819000,010500,1001,1,481130105001001,48113010500,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.713743,-96.7633924,30000,1.14,32.714057,-96.763448,0.99,rooftop,3541,"Wilhurt Ave",,,Dallas,TX,"Dallas County",75216,US,Dallas,409,106,13194,11191,192,97,0.469,45,45,0.11,8,12,0.02,40,49,0.098,0,14,0,7,12,0.017,41,39,0.1,10,16,0.024,41,49,0.1,0,14,0,12,16,0.029,13,19,0.032,0,14,0,0,14,0,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,008701,2003,2,481130087012003,48113008701,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7877762,-96.6948284,1200,0.48,32.787759,-96.694856,1,rooftop,4243,"Osborn Rd",,,Dallas,TX,"Dallas County",75227,US,Dallas,851,236,66404,17411,6,12,0.007,59,93,0.069,17,28,0.02,15,25,0.018,5,22,0.006,60,95,0.071,63,77,0.074,78,84,0.092,34,36,0.04,16,27,0.019,123,93,0.145,185,120,0.217,178,145,0.209,12,20,0.014,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,012207,1024,1,481130122071024,48113012207,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.6768475,-96.8235438,7000,0.85,32.676706,-96.823621,1,rooftop,5715,"S R L Thornton Fwy",,,Dallas,TX,"Dallas County",75232,US,Dallas,467,98,56250,18865,57,76,0.122,28,31,0.06,23,26,0.049,39,57,0.084,0,14,0,32,31,0.069,6,10,0.013,13,19,0.028,25,28,0.054,33,29,0.071,60,43,0.128,60,45,0.128,20,23,0.043,44,36,0.094,13,23,0.028,14,20,0.03,2021,48,48113,Dallas,4819000,011002,1011,1,481130110021011,48113011002,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
32.7981654,-96.6913396,6000,0.13,32.798386,-96.691611,0.99,rooftop,3400,"St Francis Ave",,,Dallas,TX,"Dallas County",75228,US,Dallas,630,114,31588,6142,69,52,0.11,63,45,0.1,47,37,0.075,35,39,0.056,47,43,0.075,85,65,0.135,29,32,0.046,65,53,0.103,16,25,0.025,63,51,0.1,34,39,0.054,33,34,0.052,32,36,0.051,12,19,0.019,0,14,0,0,14,0,2021,48,48113,Dallas,4819000,012211,3009,3,481130122113009,48113012211,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
